Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.4666565|21.716611;90;45.1644;71.3913;84.2648;1039;989;939;893;821;776;699;650;606;524;502;493;434;349;336;283;194;162;70;200.39;200;5.33843;5.35269;29;15;6;0;0;0;0;0;0;0;0;3467;377;0;0;0;3640;204;0;0;0;3443;401;0;0;0;3535;309;0;2;0
47.4666565|21.716611;91;59.6774;79.7206;90.6532;1023;998;940;875;824;793;687;637;584;519;445;420;386;330;284;249;189;123;119;199.598;201;21.9523;21.8928;20;14;5;1;1;1;0;0;107;0;0;2902;835;60;0;0;3274;510;79;0;0;3045;720;456;0;0;3151;237;0;2;0
47.4666565|21.716611;92;133.212;136.492;137.718;1042;1021;962;920;872;836;790;733;640;622;551;549;487;375;347;264;262;259;247;134.115;30;88.0199;120.972;23;11;5;6;4;2;0;0;2562;0;0;496;786;2594;0;0;442;808;2892;0;0;295;657;3817;0;0;14;13;0;2;0
47.4666565|21.716611;93;59.4149;75.922;89.2672;1043;1009;949;894;870;862;759;743;705;667;542;495;418;383;288;237;220;219;193;201.523;207;37.8232;36.5075;33;15;7;9;6;4;0;0;500;0;0;2990;354;532;0;0;2960;352;623;0;0;2887;334;850;0;0;2771;223;0;2;0
47.4666565|21.716611;94;40.2927;63.7495;81.174;1040;1019;959;901;850;803;751;593;548;428;382;292;222;156;80;70;44;41;0;205.843;207;4.99328;5.1045;15;11;4;0;0;0;0;0;0;0;0;3807;37;0;0;0;3798;46;0;0;0;3681;163;0;0;0;3460;384;0;2;0
47.4666565|21.716611;95;44.4412;67.7047;83.6566;1102;1075;1034;979;934;888;763;698;662;616;516;467;463;395;297;251;248;231;212;204.567;203;9.14658;9.40567;29;13;4;2;2;1;0;0;0;0;0;3549;295;0;0;0;3735;109;0;0;0;3681;163;0;0;0;3431;413;0;2;0
47.4666565|21.716611;96;40.8762;64;80.8215;1075;1037;953;903;878;816;754;684;610;599;554;404;339;301;246;180;137;136;98;205.636;206;7.27596;7.26632;24;15;6;1;1;1;0;0;0;0;0;3760;84;0;0;0;3756;88;0;0;0;3631;213;0;0;0;3401;443;0;2;0
47.4666565|21.716611;97;60.0905;82.5081;93.4126;1029;1003;926;883;855;770;732;677;634;600;548;513;481;361;239;231;168;111;75;199.451;198;8.37661;8.56517;26;11;5;0;0;0;489;0;176;0;0;2446;1222;121;0;0;2491;1232;109;0;0;2178;1557;0;0;0;2762;1082;0;2;0
47.4666565|21.716611;98;69.6467;93.301;99.5557;890;791;624;482;332;203;134;114;91;85;31;30;29;22;20;15;11;11;0;192.549;192;4.04334;4.08044;0;0;0;0;0;0;3;0;9;0;0;306;3529;4;0;0;431;3409;0;0;0;79;3765;0;0;0;212;3632;0;2;0
47.4666565|21.716611;99;57.7716;87.1847;94.5869;976;941;806;734;619;515;430;347;286;229;215;154;114;88;63;27;4;0;0;192.081;192;3.84967;3.85051;11;8;4;0;0;0;0;0;0;0;0;1293;2551;0;0;0;1624;2220;0;0;0;972;2872;0;0;0;152;3692;0;2;0
