Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.4666565|21.716611;32;71.4337;97.1186;101.896;724;432;205;61;18;15;0;0;0;0;0;0;0;0;0;0;0;0;0;189.375;188;3.6794;3.92786;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;33;81.7055;107.786;110.279;905;741;616;546;382;281;194;169;104;62;60;0;0;0;0;0;0;0;0;185.242;180;5.78753;7.809;0;0;0;0;0;0;0;0;0;0;0;64;3780;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;34;66.6397;105.012;103.6;532;336;147;125;102;91;17;17;6;6;6;0;0;0;0;0;0;0;0;178.474;176;5.36224;5.90547;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;35;71.3371;110.483;106.365;582;339;179;114;109;70;65;59;58;57;55;54;49;36;36;36;35;0;0;173.67;173;3.58996;3.65198;0;0;0;0;0;0;0;0;33;0;0;16;3795;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;36;77.5271;117.678;112.784;568;330;137;100;27;22;19;18;1;1;0;0;0;0;0;0;0;0;0;173.074;171;4.23769;4.71829;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;37;82.0916;119.262;113.374;387;138;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170.444;168;3.09083;3.94075;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;38;81.1041;115.944;111.348;628;364;150;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172.43;168;4.87032;6.58373;0;0;0;0;0;0;16;0;1;0;0;0;3843;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;39;88.3538;111.663;111.575;680;533;426;363;268;199;136;121;110;89;45;45;40;40;14;14;14;14;14;180.075;180;5.99534;5.99698;3;2;1;0;0;0;174;0;49;0;0;119;3676;0;0;0;113;3731;2;0;0;51;3791;8;0;0;1;3835;0;2;0
47.4666565|21.716611;40;79.9214;95.0963;99.5164;839;717;479;436;391;307;259;224;178;145;70;0;0;0;0;0;0;0;0;200.152;180;27.583;34.1621;0;0;0;0;0;0;0;0;0;0;0;392;3452;0;0;0;266;3578;0;0;0;30;3814;0;0;0;0;3844;0;2;0
47.4666565|21.716611;41;71.205;96.6805;102.392;687;484;320;282;176;114;19;3;3;3;3;0;0;0;0;0;0;0;0;190.787;187;6.02347;7.11525;0;0;0;0;0;0;0;0;0;0;0;3;3841;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;42;81.7599;105.889;108.872;803;705;589;490;363;340;253;245;232;148;145;142;32;32;31;30;11;11;0;186.42;187;9.01735;9.03601;0;0;0;0;0;0;0;0;2;0;0;53;3789;0;0;0;18;3826;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;43;76.6821;107.189;105.623;673;444;249;191;113;92;65;58;55;20;20;20;20;20;19;19;7;7;0;177.486;180;6.20091;6.69119;0;0;0;0;0;0;0;0;0;0;0;44;3800;0;0;0;20;3824;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;44;75.39;105.73;107.469;745;503;294;149;70;68;52;40;0;0;0;0;0;0;0;0;0;0;0;183.611;180;5.67495;6.72641;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;45;69.6345;101.492;101.61;645;505;348;234;211;189;126;125;0;0;0;0;0;0;0;0;0;0;0;181.51;174;8.90477;11.6492;0;0;0;0;0;0;0;0;0;0;0;37;3807;0;0;0;1;3843;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;46;63.1483;105.377;102.118;246;191;53;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175.336;177;3.36994;3.75866;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;47;73.5968;112.198;107.971;590;291;72;58;30;13;0;0;0;0;0;0;0;0;0;0;0;0;0;173.285;171;3.98605;4.59488;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;48;85.3819;112.471;110.287;727;553;295;290;269;247;235;230;188;149;139;137;133;126;73;60;51;51;43;175.854;180;5.96692;7.26648;4;1;0;0;0;0;0;0;46;0;0;135;3663;44;0;0;106;3694;64;0;0;49;3731;278;0;0;6;3560;0;2;0
47.4666565|21.716611;49;56.8163;83.9873;90.4597;922;850;804;767;705;682;643;637;581;539;511;467;435;398;354;340;336;328;302;189.352;196;13.6212;14.528;28;16;5;3;3;2;441;0;3;0;0;2605;1236;0;0;0;2866;978;0;0;0;2632;1212;5;0;0;2477;1362;0;2;0
47.4666565|21.716611;50;66.8587;92.5671;97.5853;894;805;697;619;556;548;466;382;335;296;259;222;199;165;143;111;93;91;57;188.524;180;10.6653;13.7704;14;6;4;0;0;0;0;0;0;0;0;1440;2404;0;0;0;1628;2216;0;0;0;1548;2296;0;0;0;1315;2529;0;2;0
47.4666565|21.716611;51;76.6834;103.248;104;888;689;561;411;400;335;291;256;251;249;237;215;211;207;179;173;156;156;82;181.557;180;9.93655;10.1157;9;6;4;1;1;1;0;0;31;0;0;655;3158;10;0;0;723;3111;7;0;0;557;3280;0;0;0;802;3042;0;2;0
47.4666565|21.716611;52;75.6137;101.749;102.008;897;768;625;521;379;309;287;282;262;255;238;227;161;160;139;138;137;136;133;180.732;180;7.35312;7.38943;0;0;0;0;0;0;0;0;50;0;0;423;3371;39;0;0;441;3364;42;0;0;163;3639;0;0;0;0;3844;0;2;0
47.4666565|21.716611;53;80.6527;104.951;104.91;799;582;411;272;208;203;144;122;122;112;102;102;99;93;93;92;79;79;78;180.242;180;7.41018;7.41415;4;2;1;0;0;0;0;0;0;0;0;253;3591;0;0;0;266;3578;0;0;0;160;3684;0;0;0;0;3844;0;2;0
47.4666565|21.716611;54;77.0021;111.059;108.965;591;241;124;121;97;96;90;90;62;62;56;55;55;55;54;29;27;27;27;176.527;180;4.66444;5.81578;0;0;0;0;0;0;0;0;6;0;0;46;3792;8;0;0;26;3810;0;0;0;2;3842;19;0;0;0;3825;0;2;0
47.4666565|21.716611;55;77.1262;109.768;109.742;668;429;211;132;73;26;0;0;0;0;0;0;0;0;0;0;0;0;0;180.381;180;5.27546;5.28919;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;56;73.5239;106.752;106.715;815;631;318;223;188;93;69;0;0;0;0;0;0;0;0;0;0;0;0;180.161;180;5.19778;5.20028;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
